epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2305.25,0.77821,0.40639,0.00885,0.96202,0.96964,0.98952,0.83719,0.63006,0.23594,0.00926,0.000848969,0.000848969,0.000848969
43,2360.23,0.78646,0.40707,0.0089,0.97015,0.95931,0.98748,0.83543,0.62081,0.24212,0.00904,0.000834822,0.000834822,0.000834822
44,2413.71,0.76593,0.3962,0.00879,0.95945,0.96338,0.99049,0.84087,0.62109,0.23807,0.00923,0.000820675,0.000820675,0.000820675
45,2467.23,0.76705,0.40234,0.00873,0.97083,0.96699,0.99076,0.83991,0.62182,0.22434,0.00921,0.000806528,0.000806528,0.000806528
46,2521.23,0.7449,0.38863,0.00836,0.95211,0.96829,0.98869,0.83588,0.631,0.24733,0.00935,0.00079238,0.00079238,0.00079238
47,2574.7,0.75684,0.38688,0.00853,0.94108,0.97029,0.989,0.84355,0.60548,0.24796,0.00858,0.000778233,0.000778233,0.000778233
48,2628.24,0.75421,0.38415,0.00844,0.98047,0.9582,0.99203,0.84403,0.61659,0.22433,0.00915,0.000764086,0.000764086,0.000764086
49,2682.74,0.74922,0.38246,0.0082,0.96297,0.96918,0.98656,0.83802,0.60479,0.25267,0.00866,0.000749939,0.000749939,0.000749939
50,2737.99,0.74129,0.37436,0.00836,0.97391,0.95621,0.99085,0.8453,0.60136,0.22405,0.00867,0.000735792,0.000735792,0.000735792
51,2791.39,0.74366,0.38796,0.00835,0.96394,0.97883,0.99112,0.8464,0.59724,0.22192,0.0086,0.000721645,0.000721645,0.000721645
52,2848.2,0.73427,0.37134,0.00813,0.96862,0.95519,0.98654,0.83592,0.60583,0.24455,0.00867,0.000707498,0.000707498,0.000707498
53,2904.34,0.73509,0.38013,0.00821,0.96376,0.96977,0.98956,0.84643,0.59803,0.23278,0.00855,0.000693351,0.000693351,0.000693351
54,2958.81,0.72912,0.37788,0.00823,0.96318,0.97004,0.99151,0.83921,0.60536,0.2327,0.00883,0.000679204,0.000679204,0.000679204
55,3016.23,0.72366,0.34953,0.00807,0.97764,0.95716,0.98666,0.8429,0.60588,0.24024,0.00867,0.000665057,0.000665057,0.000665057
56,3069.7,0.72218,0.36172,0.00791,0.97165,0.9758,0.99032,0.85087,0.58981,0.22719,0.00843,0.000650909,0.000650909,0.000650909
57,3122.87,0.72686,0.34294,0.00801,0.96574,0.97005,0.98701,0.84436,0.60158,0.24049,0.00871,0.000636762,0.000636762,0.000636762
58,3176.27,0.72346,0.35575,0.00815,0.97244,0.9651,0.99091,0.85408,0.58692,0.23344,0.0084,0.000622615,0.000622615,0.000622615
59,3230.2,0.71603,0.35584,0.00794,0.97359,0.97738,0.99132,0.84524,0.60482,0.22213,0.00883,0.000608468,0.000608468,0.000608468
60,3285.89,0.71666,0.34655,0.0079,0.97882,0.96506,0.9907,0.85452,0.58682,0.22805,0.00825,0.000594321,0.000594321,0.000594321
61,3339.77,0.70927,0.34174,0.00788,0.9718,0.97336,0.99245,0.85727,0.58977,0.2111,0.00835,0.000580174,0.000580174,0.000580174
